_te_acc,_te_loss,_tr_acc,_tr_loss
0.1056002,24.167799,0.100954294,25.102373
0.10467301,13.210573,0.10197946,13.676838
0.103675,2.3027692,0.1017875,2.302748
0.102775,2.3026452,0.1028375,2.3026643
0.1009625,2.3026745,0.102125,2.302634
0.10065,2.3027165,0.102475,2.3026621
0.102525,2.3026652,0.1026875,2.3026757
0.103,2.3026524,0.1025125,2.3026636
0.101775,2.3027382,0.102,2.3027425
0.1019375,2.302743,0.1013375,2.302755
0.1027875,2.3027382,0.102075,2.302769
0.103375,2.3026862,0.1025375,2.3027186
0.1026625,2.3027222,0.101175,2.3027098
0.1015375,2.302669,0.1014875,2.3027039
0.103275,2.3026633,0.10165,2.3027453
0.10265,2.3026788,0.1033125,2.3027182
0.1017375,2.3027008,0.1027125,2.3027155
0.1030375,2.3026817,0.101925,2.3027186
0.102025,2.3026767,0.1011875,2.302697
0.1011875,2.302677,0.10165,2.3026567
0.10095,2.3027039,0.1009125,2.3027112
0.1023875,2.3026886,0.1013625,2.3026958
0.1031125,2.3026462,0.10275,2.302659
0.104,2.3026505,0.10255,2.3027
0.103825,2.302664,0.102325,2.3027134
0.102875,2.3026721,0.1015375,2.3026996
0.1009875,2.3026667,0.102425,2.3026977
0.102275,2.3026528,0.10145,2.3027391
0.1024875,2.3028038,0.1023625,2.3027751
0.1022125,2.3028994,0.102525,2.3028066
0.1009375,2.3028018,0.1024875,2.302742
0.1016,2.302801,0.10055,2.3027372
0.1010125,2.3027828,0.1003,2.3027058
0.1022,2.302755,0.1008375,2.3027306
0.1018875,2.3027036,0.1015,2.3026922
0.1024125,2.3027067,0.1009875,2.3027077
0.1032375,2.3027008,0.1020875,2.3027306
0.1018875,2.3026843,0.1015625,2.3027098
0.1014,2.3026822,0.1013,2.302738
0.10175,2.302729,0.1018,2.3027084
0.1038125,2.3027058,0.1025125,2.3027112
0.102825,2.3027651,0.1006875,2.3028023
0.1018,2.3027449,0.10095,2.3028266
0.1018375,2.3027272,0.1025875,2.3027558
0.101775,2.3026576,0.1025625,2.3027282
0.1017375,2.3026485,0.1011875,2.3027282
0.101525,2.3026888,0.1008625,2.302684
0.1020875,2.3027477,0.10085,2.3027651
0.1021,2.3027074,0.1014,2.3027484
0.103425,2.3027406,0.10155,2.302756
0.10355,2.3026302,0.1035875,2.3026583
0.1038375,2.302614,0.1036625,2.3026607
0.1035,2.302642,0.1034625,2.3026729
0.1024875,2.3026803,0.1035875,2.3026676
0.1013,2.3027585,0.1016625,2.3027606
0.102825,2.302759,0.1018125,2.302771
0.1030125,2.302705,0.10205,2.3027306
0.1025,2.3026838,0.1019625,2.3027112
0.102375,2.302696,0.1031125,2.3026853
0.102775,2.3027332,0.10335,2.3026896
0.1022625,2.3027098,0.1031625,2.3027186
0.1015375,2.3026457,0.1038625,2.3026915
0.1028875,2.3026521,0.1039,2.3027043
0.1022125,2.302664,0.104025,2.3026829
0.1007,2.302669,0.103275,2.3026576
0.10095,2.3027003,0.1039875,2.30267
0.1021375,2.302709,0.1025875,2.3026872
0.1029625,2.3026965,0.101825,2.3026679
0.1016375,2.3026938,0.102475,2.3026402
0.1017375,2.302699,0.100775,2.3026464
0.102725,2.302703,0.1014,2.3026836
0.103225,2.3026755,0.1021125,2.3026671
0.10355,2.302678,0.103475,2.302619
0.1022375,2.302696,0.1040125,2.3026316
0.1033,2.302645,0.1021625,2.3026414
0.1032,2.302603,0.1019125,2.302661
0.1033625,2.3025913,0.100775,2.30267
0.1014625,2.3026805,0.10245,2.302695
0.101525,2.3027055,0.10165,2.3027015
0.1018875,2.3027446,0.10255,2.3026812
0.1018,2.3027356,0.102725,2.3026907
0.1026625,2.3026853,0.102175,2.3027198
0.1030125,2.302713,0.10245,2.302731
0.1022125,2.3027241,0.1026875,2.3026857
0.1020375,2.3027306,0.10335,2.302688
0.1023,2.3027267,0.1026125,2.302709
0.1029875,2.3027136,0.10245,2.3027449
0.1033,2.3027024,0.1021,2.3027456
0.1021875,2.3027046,0.1024125,2.3026853
0.1018375,2.302655,0.102675,2.3026626
0.100625,2.3026617,0.1017875,2.3026586
0.1015875,2.3026853,0.101775,2.3026597
0.1016125,2.302711,0.102025,2.302666
0.101825,2.302722,0.101875,2.3026981
0.102325,2.3026974,0.1018875,2.302723
0.1025625,2.302648,0.102075,2.3027492
0.1025375,2.3026574,0.10325,2.3027337
0.1028875,2.3026657,0.10295,2.3027148
0.1019625,2.3027008,0.1022375,2.3027208
0.1018875,2.3027093,0.1019125,2.3027227
0.102475,2.302651,0.1014125,2.3027308
0.1023625,2.3026316,0.1016375,2.3026986
0.103575,2.3026547,0.1015375,2.3027043
0.1026625,2.3027122,0.1016625,2.3027413
0.101075,2.3027363,0.1013375,2.3027403
0.1027,2.302669,0.1035625,2.3026853
0.1033625,2.302675,0.1039875,2.3026934
0.101925,2.3027174,0.1049,2.3026922
0.102475,2.302691,0.1036375,2.3027012
0.1019375,2.3027236,0.1026125,2.302774
0.1025,2.302708,0.102475,2.3027399
0.10355,2.3026605,0.1025875,2.3027046
0.1037375,2.3027046,0.102875,2.302681
0.1035,2.3027425,0.1034625,2.302691
0.10245,2.302706,0.101125,2.3027313
0.102875,2.3026805,0.1010375,2.3027315
0.1025375,2.302668,0.101175,2.302711
0.101125,2.302695,0.102675,2.302652
0.1016125,2.3027036,0.1019,2.3026536
0.1028625,2.3026645,0.10275,2.302682
0.1032,2.3026931,0.103225,2.302703
0.1023625,2.302683,0.1006125,2.3027296
0.1025375,2.3027437,0.1012625,2.30275
0.1034375,2.3027158,0.1033375,2.302744
0.1035875,2.302682,0.103625,2.3026798
0.1029625,2.3026817,0.102725,2.302671
0.10155,2.3027313,0.1024875,2.3026593
0.1014625,2.302709,0.102525,2.3027008
0.09945,2.3027055,0.1012375,2.3027496
0.101775,2.3026874,0.10175,2.30274
0.1026,2.3026688,0.1027125,2.3027213
0.1032125,2.302671,0.10225,2.3027453
0.1024375,2.3026896,0.1015875,2.3027058
0.1024875,2.3027058,0.1029125,2.302688
0.102325,2.3026757,0.1036375,2.3026752
0.10155,2.3027143,0.1027875,2.3027089
0.1014,2.3027077,0.102075,2.3027236
0.1019875,2.3027608,0.1009375,2.302782
0.1009375,2.3027267,0.102325,2.3027325
0.101675,2.3027008,0.104975,2.3026316
0.101625,2.302699,0.103625,2.302652
0.102425,2.3026767,0.10165,2.302705
0.102575,2.302691,0.1017875,2.3027508
0.1035875,2.3026395,0.1027125,2.3027298
0.1026125,2.3027222,0.101825,2.3027954
0.1015125,2.3027394,0.100625,2.3028126
0.1013,2.302738,0.1013375,2.3027608
0.1016625,2.3026984,0.102175,2.3026683
0.102475,2.3027015,0.102125,2.3026967
0.1022625,2.3026688,0.102725,2.3026528
0.1023375,2.3026495,0.1028875,2.3026464
0.1026875,2.3026516,0.1019125,2.3026516
0.10215,2.3027024,0.1016875,2.3026874
0.1036125,2.302675,0.102225,2.3026674
0.1036125,2.3026838,0.101325,2.302719
0.10285,2.3026662,0.1020625,2.3027046
0.102825,2.3026762,0.101975,2.3027036
0.1026125,2.3027043,0.102075,2.30271
0.1021875,2.3027096,0.10125,2.3026972
0.1018875,2.3026917,0.1014,2.3027093
