_te_acc,_te_loss,_tr_acc,_tr_loss
0.098442994,18.436077,0.098442994,19.295967
0.10197946,10.49714,0.10172889,10.928548
0.1026,2.606564,0.1042,2.6049392
0.11,2.5577745,0.1034,2.5653825
0.1188,2.5160546,0.1028,2.5385869
0.118,2.4833684,0.11,2.4980798
0.1156,2.4586704,0.1148,2.4694262
0.1224,2.425262,0.115,2.4331067
0.1286,2.3935883,0.1206,2.4063058
0.1344,2.3683996,0.1288,2.3828757
0.1292,2.3574104,0.128,2.374187
0.1424,2.3290312,0.13,2.3441126
0.1404,2.313972,0.128,2.3300874
0.1446,2.2963958,0.1368,2.3113089
0.1482,2.2829905,0.1464,2.2878706
0.159,2.2603505,0.1528,2.2671356
0.1572,2.2492023,0.1532,2.2618551
0.1722,2.2284691,0.166,2.2418253
0.1766,2.2125542,0.1728,2.2218552
0.1826,2.1941316,0.177,2.2071555
0.1842,2.1844742,0.179,2.2041137
0.1854,2.1864538,0.1878,2.1847527
0.1932,2.1680005,0.19,2.1777751
0.2116,2.1407695,0.1954,2.1670506
0.221,2.1241302,0.2084,2.151035
0.232,2.11294,0.2154,2.1424043
0.233,2.1039526,0.2254,2.125584
0.238,2.0944214,0.2282,2.1183417
0.2428,2.0888245,0.2398,2.112849
