_te_acc,_te_loss,_tr_acc,_tr_loss
0.10133099,2.3066165,0.10271221,2.306578
0.1026685,2.3042676,0.10116512,2.3043644
0.10225,2.302107,0.10075,2.30213
0.0997,2.302171,0.10045,2.3020937
0.09955,2.302135,0.10195,2.3021128
0.1039,2.302002,0.10015,2.3021233
0.10255,2.302021,0.10075,2.3020465
0.1024,2.3020766,0.1011,2.3020513
0.09835,2.3021772,0.10075,2.3021193
0.1002,2.3021016,0.09855,2.3021855
0.1007,2.3021379,0.09795,2.3022892
0.10305,2.3020582,0.09675,2.3023078
0.09975,2.3021047,0.1007,2.3021495
0.09935,2.3021429,0.10105,2.3020918
0.0999,2.3021164,0.10005,2.3020873
0.0987,2.3020668,0.0963,2.302156
0.09545,2.3021603,0.09465,2.3021934
0.09885,2.30216,0.0998,2.3021781
0.1038,2.3020577,0.10265,2.3021643
0.10475,2.302038,0.1008,2.3022466
0.1032,2.3020618,0.09995,2.3022792
0.09935,2.3020835,0.10075,2.3022673
0.1004,2.3021388,0.1008,2.3021522
0.10085,2.3020601,0.0998,2.3021333
0.1028,2.3020504,0.10195,2.3021054
0.1029,2.3021226,0.10065,2.3020875
0.1021,2.3021376,0.0972,2.302161
0.1001,2.3020272,0.09825,2.3021593
0.09965,2.3020186,0.10145,2.3021266
0.09885,2.302095,0.1033,2.302112
0.0977,2.3021607,0.1005,2.3021848
0.0994,2.302092,0.09655,2.3022606
0.1019,2.302036,0.0972,2.3022301
0.10165,2.302109,0.09825,2.3022528
0.1012,2.3021421,0.10325,2.3022254
0.10045,2.3020945,0.10355,2.302202
0.10005,2.3020277,0.1017,2.3021839
0.1027,2.302005,0.10075,2.3021927
0.1028,2.3020911,0.1001,2.3021533
0.10135,2.3021374,0.1009,2.302079
0.1,2.3020873,0.10055,2.302103
0.09905,2.30205,0.1036,2.3020737
0.1006,2.3021412,0.10325,2.3022144
0.10295,2.3020635,0.10125,2.302191
0.1003,2.3020613,0.1008,2.3022516
0.1033,2.3019657,0.1003,2.302078
0.1046,2.3019688,0.09935,2.3020976
0.10205,2.3019805,0.0997,2.3021076
0.0991,2.30213,0.1005,2.302161
0.09805,2.302185,0.10095,2.3020492
0.1006,2.302054,0.105,2.301944
0.10305,2.3020027,0.1025,2.3021483
0.1021,2.3019934,0.10165,2.3021555
0.10155,2.3020627,0.0986,2.3021917
0.10075,2.3021333,0.09955,2.302214
0.0993,2.3021655,0.1004,2.3021646
0.1019,2.302125,0.09965,2.3021839
0.1014,2.3020258,0.0993,2.302095
0.09985,2.3019753,0.09805,2.3019893
0.1003,2.302101,0.099,2.3019297
0.09905,2.3022718,0.10025,2.3020165
0.10055,2.302145,0.10335,2.3021247
0.09995,2.3020701,0.1053,2.302106
0.10155,2.3019714,0.10515,2.30209
0.1028,2.3019843,0.1072,2.3019915
0.1042,2.301973,0.104,2.3021598
0.0991,2.30206,0.1017,2.3020692
0.10025,2.3020778,0.10115,2.302051
0.10105,2.3020296,0.1039,2.3020117
0.10335,2.3020244,0.1015,2.3019626
0.10075,2.3020997,0.1005,2.302028
0.10485,2.3020573,0.09945,2.302118
0.10145,2.302092,0.1034,2.3020515
0.1007,2.3020048,0.1034,2.3019915
0.0991,2.3020704,0.10225,2.302063
0.10055,2.302088,0.1,2.3022342
0.09965,2.3021066,0.10045,2.3021696
0.1011,2.3020442,0.10085,2.3021612
0.10115,2.3020883,0.09835,2.3021224
0.1028,2.3020291,0.0992,2.3021894
0.1015,2.3020847,0.0968,2.3021653
0.1002,2.3021762,0.09575,2.3022034
0.10145,2.302115,0.09645,2.3022344
0.10195,2.3019652,0.09875,2.3021903
0.10165,2.301902,0.09875,2.3022
0.1006,2.3019938,0.09955,2.3022337
0.1013,2.3019736,0.09985,2.302183
0.10495,2.301902,0.0995,2.3021817
0.10125,2.3019621,0.0996,2.30212
0.1014,2.3021078,0.101,2.3020704
0.101,2.3021812,0.09915,2.3021355
0.1013,2.3021138,0.1004,2.3022015
0.10015,2.3020535,0.1015,2.3021472
0.1003,2.30203,0.1033,2.3020961
0.10295,2.3020065,0.1045,2.302092
0.10535,2.3019063,0.1003,2.3021438
0.10325,2.302027,0.0978,2.3021648
0.10015,2.3021343,0.0977,2.3020759
0.09595,2.30225,0.0985,2.302064
0.10035,2.3020387,0.0995,2.3021076
0.10315,2.3019493,0.10215,2.3021655
0.1037,2.3018937,0.10535,2.302089
0.10165,2.30201,0.10275,2.302075
0.1001,2.30201,0.1022,2.3020535
0.09935,2.302094,0.098,2.3020918
0.10155,2.3020186,0.1017,2.3020294
0.10135,2.301994,0.103,2.3020253
0.102,2.30205,0.10175,2.3020878
0.10235,2.30201,0.1034,2.3020911
0.10135,2.3020592,0.09945,2.3022466
0.1033,2.3019536,0.10145,2.3020833
0.10225,2.302048,0.1008,2.3020737
0.09995,2.3020942,0.10275,2.3020058
0.0979,2.3022041,0.10195,2.3020308
0.1018,2.302013,0.10015,2.3020632
0.10355,2.3020358,0.09765,2.302115
0.10385,2.3021019,0.10145,2.302075
0.10305,2.3021398,0.10165,2.3021016
0.10135,2.3020036,0.1014,2.302071
0.1003,2.3018715,0.10085,2.3021414
0.1012,2.3019543,0.10115,2.3021767
0.1006,2.3020859,0.09705,2.3021815
0.102,2.3020263,0.0972,2.3021636
0.1015,2.3020494,0.0987,2.302183
0.10085,2.3020205,0.1023,2.3020828
0.10255,2.3020227,0.0992,2.3020802
0.1001,2.302113,0.1006,2.3020844
0.10035,2.302005,0.10225,2.302085
0.103,2.3019452,0.1041,2.301947
0.1027,2.3019977,0.10335,2.3019876
0.1013,2.3020656,0.10345,2.3020403
0.1001,2.3021023,0.101,2.3020957
0.10425,2.302037,0.09985,2.302023
0.10315,2.3020017,0.10175,2.3020086
0.10135,2.302021,0.10195,2.3020506
0.10005,2.3020105,0.1027,2.3021386
0.10155,2.3019302,0.1004,2.3021173
0.1018,2.3019555,0.1016,2.3021586
0.1021,2.302082,0.10085,2.3021433
0.10145,2.3020968,0.103,2.3020504
0.10365,2.3019545,0.10365,2.302066
0.10345,2.3019238,0.10235,2.3020103
0.102,2.3020306,0.10265,2.302022
0.1001,2.30213,0.10445,2.3020155
0.10075,2.302063,0.1043,2.3020313
0.1023,2.3020754,0.1034,2.3021448
0.10105,2.3020082,0.0999,2.3022273
0.10145,2.302032,0.09975,2.3022118
0.09935,2.3020294,0.0988,2.3020973
0.1009,2.3020566,0.09945,2.3021007
0.102,2.302058,0.09745,2.3021333
0.0997,2.3020344,0.1008,2.3021238
0.0977,2.3020313,0.1023,2.3021362
0.10205,2.3019955,0.1014,2.302116
0.10635,2.3019242,0.1015,2.3020864
0.10295,2.3019993,0.09985,2.3020744
0.1027,2.3020263,0.09955,2.3021078
0.10345,2.301977,0.10175,2.3020177
0.10355,2.3019438,0.09925,2.3020062
0.10145,2.3019528,0.09845,2.3020487
0.10235,2.3019938,0.0968,2.3021343
0.10435,2.3019269,0.0987,2.3021193
0.10215,2.3019884,0.09985,2.3021908
0.1021,2.3020577,0.1023,2.3021667
0.10155,2.3020706,0.10115,2.30219
0.0984,2.3020787,0.1032,2.3021061
0.1009,2.3020015,0.10325,2.3020694
0.101,2.3020215,0.10155,2.3021092
0.1019,2.3020098,0.10145,2.3020663
0.1044,2.3019247,0.1029,2.3019714
0.0996,2.3019707,0.1035,2.302024
0.1039,2.3019152,0.10325,2.3020737
0.1036,2.3019977,0.10305,2.3021104
0.10355,2.302066,0.1018,2.3020246
0.10195,2.3020175,0.104,2.3019867
0.1028,2.3018868,0.10305,2.3019776
0.10175,2.3019755,0.1031,2.301971
0.1006,2.3020651,0.1042,2.3019786
0.1001,2.3021386,0.10185,2.3020525
0.10365,2.302023,0.09945,2.3021157
0.10485,2.3018816,0.09785,2.302139
0.10405,2.301871,0.0985,2.3020778
0.1022,2.3020473,0.10335,2.3020296
0.1023,2.301963,0.1062,2.3019762
0.1007,2.3020391,0.10405,2.3019946
0.10045,2.3020792,0.10155,2.3019862
0.10205,2.3019905,0.10125,2.301971
0.1035,2.30195,0.1007,2.302106
0.1018,2.3020124,0.10025,2.3020601
0.1026,2.301973,0.1023,2.3020985
0.1035,2.3019302,0.10375,2.3021348
0.1029,2.3019407,0.10445,2.302131
0.10275,2.3019507,0.10185,2.3021252
0.10255,2.302016,0.0987,2.3021402
0.10225,2.3019936,0.0994,2.3021197
0.10175,2.3019671,0.1008,2.3020458
0.1015,2.3019722,0.10365,2.3019311
0.1026,2.3018796,0.1025,2.3020196
0.10205,2.3019717,0.10195,2.3020108
0.10235,2.3020196,0.1024,2.3020756
0.10365,2.3020551,0.10285,2.3021781
0.1036,2.3019795,0.1014,2.3021371
0.0995,2.3020718,0.0998,2.302092
0.1003,2.3020375,0.1011,2.3019578
0.1014,2.3019729,0.102,2.3019905
0.09955,2.3020375,0.1001,2.302016
0.09875,2.302063,0.10085,2.3021092
0.101,2.301998,0.10145,2.3020525
0.1066,2.3019993,0.10155,2.3020134
0.1057,2.3018675,0.09975,2.3020473
0.10155,2.301977,0.0998,2.3020964
0.10255,2.3019528,0.0992,2.3021295
0.1024,2.3019516,0.10115,2.3020751
0.1042,2.301967,0.102,2.3020158
0.1036,2.301923,0.10015,2.3020847
0.10175,2.3019354,0.1026,2.3020375
0.0989,2.301956,0.1021,2.3021128
0.1018,2.30198,0.0998,2.302135
0.1058,2.3019285,0.1005,2.3021111
0.10385,2.3019757,0.10125,2.3021777
0.1026,2.301996,0.1014,2.3021884
0.10125,2.3019874,0.103,2.302049
0.10175,2.3020651,0.10315,2.3018653
0.1019,2.3020759,0.1051,2.3017664
0.1016,2.3019657,0.1017,2.3018765
0.10165,2.3019297,0.09965,2.3020275
0.10265,2.3019757,0.0994,2.3021052
0.1018,2.3020654,0.10035,2.302029
0.10335,2.301934,0.10235,2.3019745
0.10455,2.3019214,0.1025,2.301964
0.1009,2.3020272,0.10255,2.3020608
0.0998,2.3021111,0.1025,2.302092
0.1004,2.3019783,0.1041,2.3019953
0.10175,2.3019288,0.1046,2.3019023
0.10645,2.3018563,0.1024,2.301925
0.1058,2.3018966,0.10155,2.3020315
0.106,2.3019392,0.1012,2.3021228
0.10325,2.3020222,0.10115,2.3021429
0.10155,2.3019788,0.10345,2.3020546
0.1012,2.301896,0.1028,2.3020198
0.10445,2.301841,0.1026,2.3020282
0.10595,2.3019087,0.09915,2.3020155
0.1024,2.301969,0.0988,2.3020399
0.102,2.3020024,0.0994,2.3019993
0.101,2.302002,0.10155,2.3019805
0.10165,2.301963,0.10425,2.3020036
0.10455,2.3019562,0.1017,2.302066
0.1044,2.3019311,0.10045,2.3020642
0.1012,2.301937,0.10155,2.3020663
0.0991,2.3020527,0.10185,2.3020241
0.10335,2.3020144,0.1028,2.3019934
0.10235,2.3020308,0.10185,2.3021104
0.1021,2.3020723,0.0999,2.3021815
0.1043,2.3019664,0.09935,2.3020024
0.10215,2.3018992,0.1012,2.3019824
0.10225,2.3019285,0.10355,2.3020196
0.10205,2.301917,0.10165,2.3020887
0.10305,2.3019412,0.1024,2.3019598
0.1011,2.3019083,0.10165,2.3020458
0.10175,2.301969,0.1042,2.3019717
0.1014,2.3019464,0.1043,2.3019757
0.1014,2.3019438,0.1023,2.3019779
0.1016,2.3019292,0.1024,2.3020422
0.1025,2.3019977,0.10265,2.3020222
0.10355,2.301963,0.10275,2.3020005
0.1031,2.3019397,0.1022,2.3021114
0.10275,2.3019722,0.09975,2.302231
0.10135,2.3019567,0.1053,2.3021464
0.10295,2.3019507,0.10445,2.3020175
0.1036,2.3019571,0.10735,2.301893
0.1021,2.3019788,0.1043,2.301929
0.1019,2.3019125,0.10295,2.3019872
0.1023,2.3019185,0.1009,2.3020535
0.0999,2.3019207,0.0993,2.3020737
0.1029,2.301984,0.0996,2.3020864
0.1039,2.3019652,0.1002,2.3022063
0.10425,2.3019006,0.10225,2.302093
0.1035,2.3019383,0.1042,2.301921
0.1021,2.3019292,0.10295,2.301889
0.10375,2.3019114,0.10315,2.3019128
0.102,2.3020165,0.1034,2.3020687
0.099,2.3021188,0.1036,2.3020473
0.10225,2.3020356,0.10005,2.3020449
0.105,2.3019767,0.09765,2.3020337
0.10555,2.3018103,0.09895,2.3019874
0.1037,2.30193,0.10255,2.301917
0.1035,2.3019361,0.1014,2.3019965
0.1057,2.3019166,0.1019,2.3020747
0.1038,2.3018913,0.10075,2.302046
0.1025,2.3019438,0.1035,2.3020668
0.1013,2.3018494,0.10305,2.3020613
0.1021,2.301915,0.1027,2.3020859
0.10175,2.301938,0.10245,2.302016
0.1018,2.3019338,0.10445,2.3019958
0.1025,2.301961,0.10315,2.3020043
0.10255,2.3020518,0.1008,2.302075
0.1012,2.301958,0.10245,2.302019
0.10305,2.3019812,0.1032,2.3020153
0.10305,2.301915,0.10505,2.3019311
0.10345,2.301905,0.10475,2.3019056
0.1045,2.3018868,0.10625,2.3019066
0.10485,2.301945,0.10605,2.3018491
0.1045,2.3019347,0.10455,2.3018696
0.1032,2.3019712,0.10095,2.3020446
0.10075,2.3019722,0.1006,2.3020685
0.1001,2.301981,0.1022,2.3020062
0.10195,2.3018856,0.10495,2.3019395
0.10625,2.301917,0.1022,2.3019645
0.10475,2.3019419,0.1003,2.3020113
0.1018,2.3019538,0.10015,2.3020267
0.10235,2.301902,0.1029,2.3019302
0.10475,2.301914,0.1036,2.302029
0.1024,2.3019986,0.1015,2.3020709
0.10035,2.3020508,0.1045,2.3021066
0.10065,2.3019555,0.1041,2.3020253
0.10375,2.3018384,0.10255,2.3020582
0.1007,2.3019085,0.10085,2.3020942
0.10195,2.3020463,0.10135,2.3020887
0.10295,2.302007,0.10215,2.301958
0.10445,2.301861,0.10295,2.3019934
