_te_acc,_te_loss,_tr_acc,_tr_loss
0.102774985,21.15761,0.100734554,21.314266
0.10190115,11.708457,0.10210474,11.786683
0.1014375,2.301938,0.1011625,2.3021855
0.102275,2.3017557,0.10265,2.3019464
0.1025,2.3017364,0.1022,2.301873
0.1028875,2.3017206,0.1035625,2.3017461
0.102325,2.3017762,0.1032375,2.3016992
0.102525,2.3017035,0.1031625,2.301725
0.1029875,2.301688,0.102775,2.3016913
0.102925,2.3016534,0.10285,2.3017647
0.102475,2.3017185,0.1013375,2.301873
0.10315,2.301603,0.1028,2.301842
0.1032625,2.3017523,0.1013625,2.3019335
0.101625,2.3018136,0.10145,2.301804
0.1009375,2.3018413,0.1010625,2.3018477
0.102825,2.3017204,0.1015,2.3017302
0.1037375,2.3017156,0.1011,2.3017735
0.10305,2.3016033,0.1010375,2.3018024
0.102025,2.3017235,0.1012125,2.301958
0.1017875,2.3017867,0.10105,2.3018398
0.101525,2.3018522,0.10185,2.301832
0.1022125,2.3017411,0.1029625,2.301789
0.1033625,2.3017218,0.1038875,2.301632
0.1030375,2.3016827,0.1034125,2.3017113
0.1020625,2.3017411,0.1025125,2.30181
0.100625,2.301792,0.1021125,2.3019536
0.0997375,2.3018656,0.103225,2.301915
0.1007625,2.3017323,0.1031125,2.3018808
0.103875,2.3015401,0.102625,2.301808
0.10515,2.3014774,0.102075,2.3018167
0.1032,2.3017142,0.1017125,2.3018153
0.1026375,2.3016477,0.10205,2.301848
0.1022875,2.3016653,0.101,2.302032
0.1015,2.3017247,0.1013375,2.301911
0.10295,2.3016956,0.1028,2.3017468
0.1034,2.3017046,0.1026625,2.3017087
0.1046625,2.301603,0.10255,2.301797
0.1024875,2.3017237,0.1032875,2.3018122
0.1025375,2.3016763,0.103025,2.3018243
0.1027375,2.3016372,0.1007625,2.3018668
0.10265,2.3016942,0.101025,2.3017938
0.1021875,2.3016615,0.1030625,2.301751
0.102925,2.3015816,0.1018375,2.3018153
0.1023,2.3016984,0.1029625,2.301712
0.1026125,2.3016894,0.102825,2.3016634
0.1023625,2.3016264,0.102775,2.301679
0.1013875,2.3016655,0.10255,2.3017395
0.10315,2.3016024,0.1027625,2.3016114
0.1037,2.3016849,0.1029625,2.301715
0.103625,2.3017085,0.1032375,2.3016882
0.1028125,2.301811,0.1015375,2.3018222
0.1036,2.3015099,0.101025,2.3018117
0.1035375,2.3015163,0.1015125,2.301901
0.102725,2.3016973,0.102625,2.3018692
0.1021375,2.3017566,0.1033,2.3018184
0.1004875,2.3016899,0.102725,2.3018174
0.1016875,2.3015728,0.1022125,2.3018086
0.1018,2.3016667,0.102925,2.3017356
0.103225,2.301764,0.103775,2.3017855
0.1034875,2.301698,0.102275,2.3018785
0.1027875,2.3017642,0.101925,2.3018286
0.1016,2.3017027,0.1006375,2.301837
0.1020625,2.3016946,0.1013875,2.3018532
0.10325,2.3016295,0.10265,2.301835
0.104075,2.301548,0.101525,2.3019204
0.10355,2.3015049,0.10265,2.3018122
0.1029,2.3014903,0.10335,2.3017004
0.1014,2.301617,0.103675,2.3017
0.1028375,2.3016574,0.102525,2.3018332
0.1028875,2.3017478,0.101125,2.3019862
0.10425,2.3017132,0.1022375,2.3017955
0.103225,2.301678,0.103575,2.3017626
0.1028125,2.3015904,0.1032,2.301811
0.103275,2.3016102,0.1022125,2.3017828
0.1027625,2.3016417,0.1014375,2.301809
0.1032125,2.3016114,0.10175,2.301787
0.1031,2.3016353,0.1013625,2.3017337
0.102575,2.301565,0.1014,2.3018374
0.1020125,2.3016562,0.1017375,2.3017454
0.102525,2.3016672,0.1035375,2.3016245
0.1030375,2.3016255,0.103225,2.301616
0.1021875,2.3015482,0.102775,2.30162
0.1013375,2.3017442,0.1036875,2.3015013
0.100825,2.3018847,0.1032,2.3014872
0.10405,2.3015769,0.1040125,2.3015325
0.1050125,2.3015292,0.1035,2.3015635
0.1038625,2.3015542,0.1029125,2.3016047
0.1030375,2.3016226,0.1016,2.3017864
0.1028875,2.3015769,0.1019875,2.3018372
0.1025125,2.3015985,0.1019375,2.3017986
0.1015,2.301586,0.1033375,2.3015811
0.10125,2.3015983,0.103675,2.3016138
0.1008625,2.301668,0.102125,2.3017113
0.1035625,2.3017218,0.1017,2.3018477
0.1048875,2.3015988,0.1029625,2.3018372
0.1034875,2.3015335,0.1043875,2.3016903
0.104025,2.301486,0.1045375,2.301512
0.1026375,2.3015954,0.1044625,2.3015656
0.1025,2.3015623,0.1047125,2.301569
0.1037,2.3016212,0.1028625,2.3017073
0.105475,2.3015509,0.102475,2.3017228
0.1042875,2.3014789,0.103575,2.301632
0.104475,2.3014143,0.1043375,2.3017035
0.1016,2.3015895,0.104075,2.3017774
0.101075,2.3017364,0.102475,2.3018727
0.1024125,2.3017273,0.1022375,2.301793
0.103225,2.3016906,0.1030125,2.3017805
0.102225,2.3016844,0.1042375,2.3016503
0.1022,2.3015718,0.103925,2.3015199
0.102625,2.3015497,0.10245,2.3016956
0.103525,2.3015199,0.1014625,2.3017228
0.1023875,2.3016663,0.1011125,2.3017993
0.1022,2.3016617,0.1005375,2.3018758
0.102725,2.3015687,0.100925,2.3017843
0.103475,2.3015206,0.1006125,2.3017843
0.1033875,2.3015172,0.102,2.3016865
0.102825,2.3016007,0.1008125,2.3016386
0.1026375,2.3016398,0.1014625,2.301644
0.103025,2.3015716,0.1010625,2.301751
0.102975,2.3014624,0.10235,2.3016748
0.103275,2.3014827,0.104075,2.3015914
0.103225,2.3015094,0.1052,2.3014824
0.1019875,2.301575,0.1034625,2.3015141
0.1019375,2.3015535,0.1032125,2.3016093
0.1034125,2.3015802,0.10345,2.3016796
0.104075,2.3015468,0.1028125,2.3017695
0.10355,2.30165,0.1034125,2.3017464
0.1022,2.3015747,0.1015,2.3017428
0.1021375,2.3015778,0.1009125,2.301645
0.1030375,2.3015242,0.1009375,2.3016827
0.103675,2.3015516,0.1019375,2.3017616
0.10305,2.3015773,0.10265,2.3017776
0.1036875,2.3015552,0.1038375,2.301729
0.1028875,2.3016768,0.1025625,2.3016691
0.1040875,2.3014505,0.1023875,2.301686
0.1028,2.3014784,0.102875,2.3016768
0.103025,2.3014438,0.1032875,2.3015854
0.1021375,2.3015468,0.102925,2.3015256
0.1034,2.3014858,0.103475,2.301601
0.1032875,2.301608,0.1036125,2.3017173
0.1033875,2.3015766,0.1035875,2.3016262
0.102325,2.3016055,0.103925,2.301601
0.1023375,2.3014238,0.1030875,2.3015962
0.102425,2.3014083,0.1029875,2.3016362
0.1033875,2.3015554,0.1036125,2.3016772
0.1042125,2.3015058,0.1021375,2.3017724
0.102075,2.3016102,0.103025,2.3017893
0.10315,2.3015118,0.10165,2.3017757
0.1030625,2.3015409,0.1013,2.3017168
0.10335,2.3015366,0.1019375,2.30159
0.1032,2.3014843,0.1019625,2.3015492
0.1024,2.3016586,0.1019,2.3015308
0.102675,2.3015945,0.102625,2.3016014
0.1027875,2.301483,0.1028125,2.3016672
0.10295,2.3015363,0.1028625,2.3015714
0.10475,2.3014915,0.10295,2.3014872
0.1028875,2.3015888,0.1023875,2.3014958
0.102525,2.3016276,0.1039,2.3013737
0.10345,2.3015122,0.1042,2.3014817
0.10405,2.3014004,0.1033375,2.3016171
0.102625,2.301503,0.101775,2.3018587
0.1038125,2.3015227,0.1029,2.3017304
0.1032375,2.301496,0.104325,2.3016841
0.1037,2.3015075,0.1037125,2.3016655
0.1026375,2.301505,0.10345,2.3016882
0.1029,2.3016582,0.1047125,2.3015547
0.1031125,2.3015397,0.1023375,2.3016264
0.10335,2.3012962,0.103225,2.3016508
0.1039375,2.3012464,0.1036875,2.3016875
0.1033625,2.3015542,0.1038125,2.3016622
0.101725,2.301617,0.102925,2.3017023
0.1023,2.3016064,0.1023,2.3016672
0.1034625,2.30142,0.10155,2.301668
0.1039625,2.3014114,0.1019375,2.301718
0.1034,2.3015094,0.1027375,2.3017018
0.10215,2.3016531,0.102525,2.3016405
0.103675,2.3014472,0.101075,2.3016152
0.1029375,2.301504,0.1026375,2.3015177
0.1027,2.301509,0.1042625,2.3014402
0.1038375,2.3015368,0.10575,2.301523
0.10315,2.3014636,0.1044,2.30163
0.1024625,2.3015678,0.103525,2.3016267
0.10265,2.3016007,0.1034,2.3014414
0.103625,2.3014882,0.103675,2.3014224
0.104625,2.3013282,0.1023375,2.3016152
0.10345,2.3013005,0.102675,2.3016555
0.10275,2.3014688,0.1025,2.3016195
0.1024,2.3015459,0.1019375,2.301679
0.1035875,2.3014922,0.1022125,2.3015902
0.104325,2.3014376,0.1010125,2.3015962
0.10425,2.301483,0.1013875,2.3015683
0.1034125,2.3014927,0.1018625,2.3015738
0.103425,2.301431,0.102825,2.3013787
0.103225,2.3013241,0.1033375,2.3013997
0.1032375,2.301398,0.102875,2.3015132
0.1038375,2.3014276,0.103925,2.3014462
0.1035125,2.3014395,0.103325,2.3015802
0.1023625,2.3014576,0.101675,2.30175
0.1032125,2.3015237,0.102175,2.3017044
0.104025,2.301512,0.10365,2.30163
0.103025,2.3014956,0.1046625,2.3016038
0.10345,2.301452,0.10325,2.3016913
0.1036125,2.301377,0.104125,2.3015163
0.103025,2.3014712,0.1039125,2.301414
0.1034625,2.3013937,0.1048375,2.3014128
0.1022875,2.3014724,0.1050125,2.3015187
0.10515,2.3013039,0.105125,2.3014781
0.105375,2.3013306,0.10445,2.3015811
0.1046,2.3013327,0.105,2.3015308
0.1031375,2.3014429,0.1032625,2.301467
0.1027625,2.3014169,0.1025,2.3015242
0.1028375,2.3013778,0.1009,2.3017168
0.1040375,2.3011875,0.1013125,2.3016827
0.1037125,2.3013875,0.1032875,2.3015575
0.1039375,2.301519,0.1043625,2.3015552
0.1029125,2.301529,0.1043875,2.3014886
0.1031375,2.3014343,0.104625,2.3015325
0.103525,2.3014638,0.1040375,2.3014872
0.1035125,2.3014047,0.103325,2.301534
0.10415,2.3012855,0.1039,2.3013
0.1034625,2.3013759,0.1026875,2.3013923
0.1028375,2.3014493,0.1020875,2.3015265
