_te_acc,_te_loss,_tr_acc,_tr_loss
0.09166248,26.431065,0.097940736,26.966965
0.09471311,14.593234,0.09740666,14.854793
0.0938,2.8088038,0.09385,2.795932
0.0963,2.776001,0.0914,2.7832472
0.09635,2.7477832,0.09385,2.7634726
0.1002,2.7169278,0.0965,2.7416518
0.0965,2.7031937,0.09545,2.7116005
0.09945,2.6840465,0.09255,2.7024407
0.0984,2.6822932,0.09675,2.689184
0.10095,2.6652222,0.09905,2.6602292
0.10365,2.6473563,0.10035,2.641882
0.10235,2.6362052,0.1007,2.6310453
0.10665,2.6173222,0.10295,2.6277487
0.1061,2.5979273,0.10295,2.6118817
0.10805,2.58656,0.1042,2.5958314
0.10825,2.5719125,0.1043,2.5825753
0.11245,2.5626338,0.10685,2.5732918
0.11245,2.5517018,0.10745,2.5653203
0.1126,2.5481474,0.10935,2.5504763
0.11375,2.5386164,0.11025,2.5411582
0.11525,2.5279443,0.11295,2.5256078
0.1167,2.5210638,0.11175,2.525161
0.12085,2.5012875,0.11295,2.5183594
0.12465,2.4930592,0.1148,2.5069435
0.12515,2.4840481,0.11855,2.4953833
0.12315,2.4712021,0.1179,2.4927304
0.1251,2.4674242,0.11765,2.4800606
0.1273,2.4686081,0.1207,2.475
0.1296,2.4582024,0.1208,2.465419
0.12955,2.4494796,0.1208,2.4632368
0.1322,2.4413762,0.12415,2.4528804
0.13515,2.4311633,0.1269,2.449105
0.13605,2.4254208,0.13255,2.436296
0.13585,2.4172564,0.13365,2.430157
0.13715,2.4161484,0.13375,2.422502
0.14215,2.4025905,0.1325,2.4221542
0.1423,2.399484,0.1347,2.4104419
0.1396,2.3964374,0.13725,2.4055378
0.1428,2.3908746,0.13735,2.3977227
0.14665,2.3828077,0.13775,2.3931746
0.1527,2.373332,0.13755,2.389015
0.15475,2.3670802,0.13795,2.3853164
0.15165,2.368103,0.1381,2.3817434
0.1491,2.3669825,0.1418,2.3716953
0.1494,2.363759,0.1479,2.360525
0.1546,2.350852,0.14695,2.363367
0.15925,2.345076,0.1468,2.3554952
0.15885,2.3445847,0.1488,2.3503702
0.15825,2.3417141,0.15275,2.342382
0.164,2.32608,0.1551,2.3440914
0.16405,2.3272765,0.1538,2.3492453
