_te_acc,_te_loss,_tr_acc,_tr_loss
0.10032647,2.3049052,0.09643395,2.3049881
0.10022551,2.30358,0.09784515,2.3036373
0.099775,2.3022518,0.09765,2.3023329
0.100375,2.3022227,0.099025,2.3023324
0.0989,2.3021936,0.097575,2.302328
0.10075,2.3022099,0.097275,2.302291
0.101925,2.302198,0.097625,2.3022456
0.10165,2.30218,0.10015,2.3022313
0.099175,2.3021812,0.1017,2.3022242
0.097475,2.302276,0.0997,2.3022518
0.0988,2.3023164,0.0976,2.30227
0.0992,2.3023417,0.097275,2.3022776
0.09945,2.3022542,0.099375,2.302253
0.09895,2.3022316,0.0999,2.302258
0.100775,2.302183,0.0986,2.3023145
0.100075,2.3022158,0.098025,2.3023562
0.0998,2.3022103,0.096875,2.3023396
0.099075,2.3022587,0.09735,2.3023293
0.099525,2.3022492,0.096425,2.302334
0.1003,2.3022406,0.098525,2.302298
0.10105,2.3022501,0.097775,2.30233
0.09915,2.302282,0.09815,2.3023176
0.100325,2.3022594,0.09735,2.3023686
0.100725,2.3022597,0.096275,2.3023949
0.100775,2.3022122,0.096075,2.3023007
0.101575,2.3021452,0.097625,2.3022552
0.100275,2.3022218,0.09995,2.302247
0.099025,2.3023326,0.099225,2.3022308
0.098925,2.302285,0.09735,2.3022597
0.1007,2.3022244,0.097475,2.302291
0.101775,2.3021212,0.09735,2.3023026
0.1018,2.3021646,0.1008,2.302259
0.101075,2.3022392,0.09645,2.3023372
0.09775,2.3023002,0.09465,2.3023655
0.0977,2.3022861,0.09535,2.302355
0.099425,2.3022187,0.0952,2.3023765
0.100525,2.3022013,0.0964,2.302347
0.098625,2.302266,0.0987,2.302282
0.099275,2.3022368,0.100375,2.3022776
0.101125,2.302193,0.100375,2.3022778
0.099875,2.3022583,0.1002,2.3022606
0.10065,2.3022406,0.0984,2.302293
0.10015,2.3022695,0.0997,2.3022518
0.101725,2.3022153,0.102,2.3021734
0.099475,2.3022337,0.1007,2.3022165
0.0984,2.302254,0.0993,2.3022346
0.099225,2.3022068,0.099225,2.3021586
0.1008,2.3021438,0.098975,2.302221
0.100425,2.3022149,0.098275,2.3022485
0.099725,2.302278,0.0973,2.3023071
0.098775,2.3022969,0.096,2.302253
0.099625,2.3022568,0.09645,2.302314
0.099775,2.3021743,0.09645,2.3023412
0.100025,2.302222,0.09905,2.3023262
0.1006,2.3022966,0.09975,2.3022645
0.0992,2.3022504,0.09995,2.3022468
0.10135,2.3021646,0.0983,2.3023677
0.101825,2.3021905,0.095575,2.3023942
0.1015,2.3022633,0.095725,2.302343
0.0988,2.3023076,0.0996,2.302244
0.09845,2.3022637,0.0983,2.3021836
0.098575,2.3023078,0.0991,2.3021896
0.0998,2.302239,0.09835,2.3022592
0.1006,2.3022003,0.099075,2.3022044
0.100625,2.3021986,0.0974,2.3022711
0.101225,2.3021562,0.09815,2.302219
0.10045,2.3021886,0.0986,2.3022282
0.1002,2.3022625,0.100675,2.3022401
0.10075,2.3022335,0.100325,2.3021505
0.099075,2.3022485,0.098325,2.3022172
0.099125,2.3022213,0.0958,2.3023276
0.09835,2.3022692,0.09615,2.3023324
0.099125,2.3021617,0.0964,2.3022974
0.0995,2.3022692,0.09685,2.3023043
0.101825,2.3022804,0.0981,2.3022707
0.102075,2.302261,0.097325,2.3022943
0.101275,2.3021872,0.098275,2.3023238
0.099375,2.3022206,0.0998,2.3023143
0.1005,2.30221,0.100225,2.302344
0.099875,2.3022473,0.1,2.3022761
0.1,2.3022478,0.0987,2.302402
0.101575,2.3022652,0.098125,2.3023844
0.09875,2.3022811,0.098025,2.3023696
0.09895,2.302248,0.09845,2.3023567
0.099125,2.3022099,0.098775,2.302259
0.102025,2.3021812,0.0989,2.3022425
0.100725,2.30219,0.09785,2.3023105
0.098275,2.3022587,0.095925,2.3023465
0.098975,2.302259,0.0985,2.302297
0.100375,2.302197,0.10075,2.3022509
0.100325,2.302192,0.09885,2.3022664
0.100075,2.3021472,0.0976,2.3022745
0.100175,2.3022265,0.09915,2.3022366
0.100725,2.3022509,0.0982,2.3021786
0.100275,2.302267,0.097275,2.3022308
0.0988,2.3022835,0.09845,2.3022761
0.1002,2.302203,0.098825,2.3023117
0.100975,2.3022246,0.099825,2.3022509
0.098525,2.3023062,0.096625,2.3023257
0.099775,2.3022442,0.096275,2.302346
0.099975,2.3021517,0.095725,2.3023934
0.10045,2.3021712,0.097975,2.302305
0.099825,2.3022606,0.097075,2.3022702
0.0991,2.3022668,0.096625,2.3022854
0.101075,2.3022096,0.0971,2.302293
0.101825,2.3021972,0.09875,2.3021982
0.1011,2.3022401,0.099875,2.3022382
0.09825,2.3022559,0.10205,2.3022199
0.09905,2.3022316,0.098975,2.3023083
0.10065,2.3022184,0.097175,2.3023324
0.101725,2.302156,0.097075,2.3022673
0.101525,2.302191,0.09725,2.3022552
0.100375,2.3022313,0.097225,2.3022852
0.10035,2.3022592,0.0985,2.3023028
0.100075,2.3021803,0.101075,2.3022757
0.100875,2.302238,0.10085,2.3022661
0.09885,2.3023126,0.098025,2.3022828
0.100275,2.302211,0.099175,2.3022294
0.09925,2.3021817,0.099125,2.3022704
0.0998,2.302163,0.10035,2.3022711
0.0994,2.3021827,0.1009,2.302261
0.099775,2.3022394,0.10175,2.3022652
0.100575,2.3022032,0.09985,2.3023117
0.101275,2.3021445,0.096825,2.302365
0.100225,2.3022268,0.09745,2.3023286
0.1002,2.302273,0.096525,2.3023696
0.101525,2.3022833,0.096575,2.3023396
0.1017,2.3022084,0.098125,2.3023012
0.099075,2.3021812,0.1007,2.3022835
0.099025,2.3021934,0.101375,2.302182
0.099775,2.3022325,0.100975,2.302192
0.10065,2.3022275,0.0993,2.3022273
0.100875,2.3021717,0.100575,2.3022163
0.0997,2.3021722,0.097675,2.3023348
0.099675,2.3022141,0.096925,2.3024035
0.09785,2.3022602,0.096375,2.3023527
0.101075,2.3021894,0.09995,2.3021908
0.100875,2.3021777,0.1002,2.3022382
0.100975,2.3022208,0.100725,2.3023007
