_te_acc,_te_loss,_tr_acc,_tr_loss
0.34,1.9524611,0.48,1.6998323
0.6,1.450771,0.58,1.3433712
0.74,0.87635875,0.72,1.0251501
0.78,0.8340203,0.68,0.86087084
0.8,0.76967514,0.76,0.8207414
0.92,0.54597473,0.8,0.7763753
0.78,0.7238983,0.82,0.54257554
0.82,0.4997126,0.84,0.60526097
0.84,0.470387,0.78,0.75369287
0.88,0.47397077,0.82,0.59985155
0.86,0.54974073,0.92,0.23945516
0.92,0.3436958,0.84,0.6737562
0.82,0.6062304,0.82,0.5420383
0.92,0.36525944,0.92,0.27765676
0.94,0.2656329,0.88,0.40077385
0.88,0.39001238,0.94,0.2929098
0.92,0.29920506,0.76,0.9048851
0.84,0.4827799,0.92,0.35315695
0.88,0.63679665,0.92,0.316149
0.86,0.51778376,0.78,0.6661808
0.8,0.4952008,0.92,0.2940867
0.86,0.5033518,0.88,0.3145313
0.92,0.33045456,0.88,0.39477766
0.9,0.2511659,0.94,0.24219869
0.86,0.36442468,0.8,0.68977094
0.94,0.26485413,0.92,0.33930627
0.94,0.34418,0.88,0.42594558
0.86,0.5736613,0.9,0.41407233
0.84,0.6469623,0.84,0.48065856
0.92,0.35447064,0.96,0.22067732
0.94,0.29849464,0.84,0.6882949
0.94,0.19997345,0.92,0.21278633
0.86,0.27972612,0.94,0.45375007
0.98,0.07458865,0.98,0.12215293
0.9,0.3826629,0.86,0.33149177
0.92,0.27421135,0.92,0.2990904
0.94,0.21540087,0.8,0.5552382
0.88,0.36688584,0.94,0.30539346
0.96,0.14960696,0.86,0.35323098
0.92,0.26912495,0.96,0.19149773
0.9,0.35566738,0.88,0.5904653
0.86,0.6451566,0.86,0.4658496
0.92,0.26275355,0.96,0.18000147
0.94,0.2157616,0.9,0.26906142
0.9,0.37811685,0.94,0.17440742
0.9,0.27077928,0.86,0.5150897
0.86,0.46396747,0.98,0.18651177
0.92,0.27455127,0.92,0.28416198
0.8,0.57631797,0.9,0.20182215
0.86,0.3834415,0.88,0.27470076
0.94,0.15504326,0.84,0.36510384
1.0,0.077982664,0.88,0.51665145
0.92,0.30856824,0.9,0.21501383
0.88,0.25636595,0.94,0.25276837
0.9,0.37486407,0.84,0.411262
0.88,0.32400453,0.9,0.27282575
0.88,0.3995349,0.9,0.33055133
0.9,0.3245095,0.96,0.24012457
0.88,0.30165777,0.9,0.37068138
0.9,0.31244278,0.8,0.7701942
0.94,0.16479865,0.9,0.2901994
0.96,0.1611641,0.88,0.60738695
0.92,0.2514395,0.94,0.24114792
