_te_acc,_te_loss,_tr_acc,_tr_loss
0.078352585,39.574936,0.08287293,36.32967
0.09471311,28.420696,0.09295916,26.826422
0.122,16.251862,0.117,16.11344
0.1532,11.051171,0.136,11.40538
0.1734,8.062597,0.1654,8.162911
0.1862,6.1148024,0.179,6.1269813
0.1984,4.7446594,0.1936,4.783724
0.2108,3.9308531,0.2066,4.0526037
0.2306,3.4968984,0.2246,3.5410852
0.2468,3.1943142,0.2378,3.1592646
0.264,2.8874197,0.255,2.9079528
0.2848,2.711041,0.282,2.664199
0.2998,2.5514328,0.3092,2.4898374
0.3208,2.412573,0.3096,2.413516
0.3292,2.3043222,0.3222,2.3206894
0.3492,2.201884,0.336,2.2453325
0.3696,2.1224473,0.3602,2.174987
0.3798,2.0666363,0.3782,2.0940259
0.3902,2.018504,0.4032,1.973802
0.409,1.9515584,0.417,1.905278
0.4274,1.8702359,0.427,1.8896389
0.4436,1.8040031,0.4422,1.8088299
0.4488,1.7764,0.4578,1.7462422
0.4602,1.7376437,0.4682,1.7157053
0.4696,1.6814883,0.4692,1.6973081
0.4794,1.6461763,0.4664,1.6957533
0.4898,1.6119549,0.472,1.6731358
0.5078,1.5370748,0.4914,1.6064132
0.5062,1.5276734,0.5108,1.5365244
0.5274,1.493826,0.5342,1.4673886
0.5378,1.4611714,0.5316,1.4799399
0.5436,1.4510376,0.536,1.4651082
0.5466,1.4085599,0.553,1.4018769
0.558,1.3773509,0.561,1.3859034
0.5646,1.3546997,0.5564,1.3951316
0.5742,1.3444067,0.5638,1.3670663
0.5744,1.3316932,0.5698,1.3638908
0.5822,1.3063629,0.5792,1.3316991
0.5992,1.2361499,0.584,1.3039432
0.5944,1.234856,0.587,1.2648647
0.5972,1.2273335,0.5838,1.2757311
0.6002,1.2308989,0.5864,1.2844976
0.6166,1.203761,0.6028,1.2558829
0.6194,1.1841161,0.6088,1.222404
0.6172,1.1744503,0.6092,1.2081724
0.621,1.1599178,0.6148,1.1929357
0.6334,1.1354834,0.618,1.1761624
0.6384,1.1244515,0.625,1.1478839
0.627,1.1394029,0.6342,1.1216339
0.6394,1.1137061,0.642,1.1115347
0.6396,1.1047508,0.647,1.0965531
0.6452,1.1004292,0.6346,1.1107113
0.6538,1.0638989,0.6388,1.1072501
0.6662,1.0544156,0.642,1.104405
0.6658,1.0334259,0.645,1.0915416
0.654,1.0552163,0.6556,1.0666493
0.6624,1.0362635,0.6638,1.037576
0.6736,1.0047365,0.6658,1.0405946
0.6834,0.9768797,0.6686,1.0608419
0.6802,0.99822205,0.665,1.0723853
0.6826,0.99596816,0.6704,1.0395932
0.683,0.9985362,0.6752,1.0343308
0.6844,0.97622013,0.6682,1.0314875
0.694,0.95977646,0.6762,1.003801
0.6942,0.96606785,0.687,0.9542459
0.6958,0.95247656,0.6986,0.9470937
0.6952,0.9539443,0.687,0.97060275
0.6998,0.94098884,0.6844,0.9675631
0.7,0.9486133,0.6882,0.9374154
0.7074,0.9157473,0.6908,0.94363534
0.7128,0.90031797,0.6936,0.95180714
0.7108,0.91098046,0.6932,0.96786046
0.7082,0.9170353,0.6896,0.9684485
0.7086,0.9062076,0.6954,0.9384123
0.7116,0.8950795,0.7026,0.90553313
0.711,0.89788437,0.7072,0.9107414
0.7142,0.901225,0.7148,0.8976088
0.7156,0.8997291,0.7126,0.90619767
0.714,0.8874949,0.7122,0.8839391
0.7226,0.8507076,0.7086,0.9075108
0.7138,0.8681163,0.7,0.9521877
0.7172,0.8651132,0.6986,0.95687306
0.7248,0.858675,0.715,0.9185139
0.7342,0.84404844,0.7132,0.9062445
0.7302,0.8524763,0.7156,0.88383985
0.7292,0.835559,0.7232,0.8783709
0.7244,0.8365801,0.7246,0.8699708
0.7288,0.8312123,0.7226,0.86276495
0.746,0.8204675,0.7296,0.8388592
0.7402,0.8293059,0.7296,0.8538669
0.7332,0.83783126,0.7264,0.869366
0.732,0.8282799,0.7268,0.8642242
0.7376,0.82599646,0.7256,0.8626149
0.744,0.8123624,0.7232,0.8657029
0.7472,0.8076383,0.726,0.8571334
0.7466,0.8074699,0.7346,0.836512
0.7442,0.79266167,0.7388,0.8252199
0.7424,0.8103469,0.741,0.82376444
0.7504,0.7820587,0.7382,0.82824016
0.7516,0.7772732,0.7468,0.7917501
0.7506,0.7784998,0.7448,0.81010723
0.7588,0.7636948,0.7412,0.81018126
0.7524,0.76941144,0.7396,0.8063049
0.745,0.8061769,0.7436,0.7944311
0.7462,0.7982247,0.7554,0.78349423
0.7528,0.7777892,0.7524,0.7974608
0.755,0.77161103,0.7432,0.80888563
0.7642,0.7573799,0.7434,0.8163754
0.7604,0.75603026,0.744,0.8106641
0.7566,0.76846594,0.7456,0.80023384
0.7536,0.7676756,0.7432,0.80531895
0.7542,0.7732575,0.7518,0.7979019
0.7576,0.7599859,0.749,0.8090779
0.762,0.7481932,0.7432,0.8121485
0.7644,0.7416159,0.7456,0.7955301
0.7664,0.7488262,0.7538,0.7848903
0.7644,0.7354791,0.76,0.76279277
0.7668,0.734831,0.7652,0.7333945
0.7716,0.7346447,0.755,0.75747824
0.769,0.74255556,0.7536,0.77736735
0.7624,0.7496785,0.7574,0.7619362
0.7682,0.7245945,0.7532,0.7688422
0.7698,0.7187378,0.7596,0.75572354
0.765,0.73644036,0.7602,0.7417495
0.7678,0.7431965,0.7624,0.7447716
0.7706,0.7328626,0.7616,0.7557034
0.7664,0.73173845,0.769,0.7310873
0.7706,0.7218864,0.7712,0.7134479
0.7766,0.70982695,0.7676,0.7386438
0.777,0.7203036,0.7714,0.7392816
0.7734,0.7189693,0.7736,0.73461145
0.7744,0.7147949,0.7724,0.74194753
0.7802,0.69522816,0.7732,0.7445162
0.7796,0.71134305,0.7752,0.7358438
0.7834,0.6923571,0.7776,0.7258386
0.7842,0.69157225,0.7756,0.7270621
0.779,0.6962202,0.7654,0.7262996
0.777,0.7092184,0.7742,0.70985997
0.7772,0.7089703,0.7794,0.7009553
0.7852,0.69173294,0.7776,0.7111752
0.784,0.68777853,0.7732,0.7269458
0.7808,0.702853,0.7702,0.73710036
0.7812,0.696341,0.7684,0.74077195
0.782,0.6849335,0.7716,0.7393589
0.7874,0.678576,0.7798,0.71005976
0.7842,0.68723387,0.7828,0.6984049
0.7844,0.6900892,0.777,0.7168894
0.7888,0.6821266,0.7752,0.72267216
0.7892,0.6774609,0.7718,0.7347635
0.7876,0.67973596,0.7712,0.7248503
0.787,0.68437755,0.7704,0.72646546
0.7832,0.6828479,0.7784,0.6999486
0.786,0.68095607,0.7754,0.71809894
0.7892,0.66633725,0.7736,0.7246606
0.7964,0.65542096,0.776,0.71212536
0.7956,0.662969,0.7852,0.6789126
0.7928,0.6676821,0.7866,0.69228464
0.7848,0.6818087,0.7778,0.7136961
0.7834,0.68994534,0.7834,0.705748
0.7978,0.6613379,0.7858,0.7050815
0.8042,0.64256287,0.7868,0.7046899
0.7968,0.6566228,0.786,0.6925258
0.7942,0.66446376,0.7866,0.6907276
0.7944,0.6700378,0.7856,0.6912873
0.7944,0.6576555,0.7852,0.69156164
0.8016,0.6426427,0.7902,0.6780932
0.803,0.6464113,0.787,0.67702216
0.7992,0.65025145,0.7788,0.68477434
0.7944,0.6619578,0.7736,0.702362
0.7934,0.66644835,0.7842,0.6922764
0.8004,0.6581754,0.7824,0.6884949
0.7978,0.6534003,0.7874,0.67938626
0.7994,0.6438786,0.7874,0.6791386
0.7886,0.6598597,0.7982,0.6561294
0.7976,0.64152,0.7956,0.6623869
0.7954,0.64024806,0.791,0.6784715
0.797,0.6411867,0.7914,0.6774171
0.8064,0.6349796,0.7954,0.66700995
0.805,0.6360557,0.8012,0.6437083
0.8022,0.633858,0.8046,0.6262521
0.7974,0.64287925,0.8006,0.641892
0.8022,0.63053334,0.791,0.6655461
0.7922,0.66639525,0.7852,0.69178563
0.801,0.64648855,0.7856,0.6922068
0.807,0.6325207,0.7954,0.6686746
0.8126,0.6170149,0.7964,0.67047447
0.804,0.62973034,0.8038,0.63676566
0.801,0.65312713,0.7972,0.64819306
0.8062,0.62496805,0.795,0.6523304
0.8076,0.61834747,0.794,0.6600952
0.7992,0.6362085,0.8012,0.6433304
0.8034,0.6323364,0.7992,0.653355
0.8056,0.6279432,0.8028,0.65064657
0.805,0.626315,0.802,0.6494878
0.8074,0.6206451,0.796,0.66281027
0.8084,0.6272374,0.7988,0.65290725
0.8042,0.6265721,0.8026,0.64093786
0.8076,0.62252074,0.799,0.64826477
0.8132,0.6088094,0.798,0.65364784
0.8078,0.6247805,0.8004,0.6546964
0.8056,0.63030744,0.8022,0.6462512
0.8036,0.6355406,0.8002,0.64608616
0.802,0.6390876,0.8076,0.62786907
0.8068,0.6213291,0.8078,0.62480235
0.8154,0.59686035,0.8128,0.624772
