_te_acc,_te_loss,_tr_acc,_tr_loss
0.15067805,37.427902,0.14063285,38.547157
0.14532699,25.359243,0.14607868,25.82348
0.1528,12.34395,0.151,12.465762
0.1644,8.76354,0.167,8.828266
0.1738,6.7707844,0.1764,6.7018275
0.1854,5.6974525,0.185,5.599007
0.2112,4.7343674,0.2104,4.7206182
0.2348,4.0664835,0.2318,4.215172
0.2594,3.6046984,0.2534,3.6952434
0.2824,3.2709475,0.2766,3.3362446
0.306,2.8989975,0.302,2.9366784
0.3282,2.667957,0.3322,2.6979852
0.3468,2.4485261,0.3474,2.4905941
0.3714,2.273882,0.3736,2.2932558
0.3914,2.1279073,0.3856,2.1993663
0.4046,2.012414,0.4,2.0993023
0.4194,1.9795904,0.4156,2.0478241
0.4374,1.9361073,0.4314,1.9527555
0.4488,1.8758438,0.4438,1.8958824
0.4678,1.7810844,0.4554,1.8305441
0.487,1.692533,0.4616,1.8039035
0.492,1.6762108,0.484,1.7366781
0.5004,1.6478302,0.4956,1.7077328
0.5108,1.6015242,0.5128,1.6518567
0.5256,1.5595926,0.507,1.6312829
0.5356,1.5217484,0.5236,1.5872896
0.5426,1.5177293,0.5276,1.5711228
0.551,1.4915199,0.5408,1.5398738
0.5502,1.4708017,0.5434,1.5151241
0.5668,1.392498,0.553,1.4887341
0.5692,1.3995119,0.559,1.4381832
0.5738,1.3703243,0.5606,1.4284061
0.5802,1.3532721,0.5712,1.4064994
0.5954,1.3126549,0.5766,1.362792
0.6138,1.2666299,0.5812,1.3718779
0.6174,1.2577505,0.5944,1.331956
0.616,1.247408,0.6,1.3044804
0.6138,1.2517545,0.6012,1.3154348
0.6248,1.2098342,0.6006,1.3228519
0.6352,1.1905481,0.6026,1.3269045
0.637,1.1937906,0.61,1.2870151
0.6308,1.1840478,0.6218,1.2485225
0.6276,1.177768,0.6226,1.2236203
0.6422,1.1619644,0.6198,1.2449819
0.6474,1.1479199,0.6358,1.1954857
0.657,1.1299855,0.6422,1.1721436
0.658,1.1318082,0.6416,1.1633958
0.6606,1.0983473,0.6416,1.154325
0.66,1.0899922,0.6446,1.1665651
0.6638,1.0724826,0.6422,1.1627022
0.6714,1.0789335,0.6526,1.1242826
0.6694,1.0797384,0.6536,1.1109351
0.6772,1.0400186,0.6594,1.0786864
0.6868,1.0250733,0.6566,1.0937543
0.6854,1.0283457,0.655,1.1201501
0.682,1.0308192,0.6586,1.1227936
0.683,1.0264742,0.6698,1.1000221
0.6964,1.0033188,0.6676,1.0877343
0.6944,0.99579513,0.6672,1.0774873
0.6932,0.9971342,0.6768,1.0452572
0.694,0.9922412,0.6848,1.0112983
0.6998,0.9645078,0.6746,1.0323367
0.7088,0.94314325,0.6814,1.0157803
0.7038,0.9753077,0.6904,0.9968031
0.701,0.9738961,0.6946,0.973192
0.7144,0.93761504,0.6972,0.98272735
0.7148,0.9270588,0.7014,0.9733469
0.7162,0.9375266,0.6912,1.0239664
0.7086,0.9563378,0.6848,1.0433395
0.711,0.9412527,0.6842,1.0229603
0.7144,0.9327211,0.7008,0.9773163
0.7182,0.92221355,0.7054,0.96251845
0.726,0.90683967,0.7018,0.9677453
0.7194,0.91337776,0.6976,0.97185194
0.7198,0.8987457,0.6894,0.9922088
0.7256,0.89188474,0.6996,0.96117795
0.7342,0.8862666,0.7084,0.931018
0.7334,0.8766033,0.712,0.92917717
0.7292,0.87224454,0.7128,0.93898535
0.7266,0.8856934,0.7102,0.9498631
0.7424,0.86341983,0.7118,0.9272673
0.7418,0.84078145,0.7136,0.9293914
0.7358,0.8622597,0.7112,0.9445819
0.728,0.88013387,0.7178,0.93159276
0.7266,0.8907656,0.7216,0.91309845
0.7358,0.85600966,0.7192,0.9125106
0.7422,0.83995545,0.7182,0.90475935
0.7448,0.8444951,0.7242,0.88595325
0.7418,0.83774394,0.7402,0.8564672
0.7412,0.8322711,0.7358,0.86363995
0.737,0.8479463,0.7298,0.8847127
0.7434,0.82187754,0.7302,0.87480325
0.7498,0.80683035,0.7326,0.8859956
0.7466,0.8170135,0.7346,0.873766
0.7508,0.8156007,0.73,0.88187355
0.7552,0.80884093,0.7302,0.87840694
0.7602,0.7775732,0.7254,0.9008766
0.7466,0.80163777,0.7196,0.91272014
0.747,0.81374246,0.7306,0.87666893
0.7492,0.8091728,0.7404,0.8481586
0.7612,0.78888685,0.7402,0.8449727
0.765,0.77247334,0.7396,0.84459805
0.7606,0.78067744,0.7348,0.84009784
0.7518,0.79443663,0.7348,0.82262224
0.7538,0.8059375,0.734,0.82508135
0.7628,0.78230095,0.7372,0.8173285
0.7654,0.7871825,0.7472,0.7933596
0.762,0.7961625,0.7496,0.7927104
0.7564,0.79038113,0.7448,0.8126069
0.7634,0.7648258,0.7442,0.83147615
0.7668,0.7523209,0.7478,0.8125415
0.765,0.76697063,0.7456,0.82080793
0.7652,0.76904315,0.7472,0.80923593
0.7638,0.7689186,0.7528,0.8047642
0.7702,0.75418985,0.7502,0.8053457
0.77,0.75727004,0.7532,0.7996745
